numeric.date,crosser,group,focal.plant,focal.type,mom,mom.loc,mom.type,dad,dad.loc,dad.type,cross.ind,cross.loc,cross.type,w.capsule,n.seeds,seed1,seed2,seed3,seed4,r.cross.type,mom.geo,mom.sp,dad.geo,dad.sp,mom.pop,dad.pop,r.geo,r.sp,min1seed,minfert,intraspecific
42960,Kate,3,117SL,SL,117SL,POL,SL,97AL,KS,AL,117xx97,KSxxPOL,ALxxSL,45.6,2,22.4,22.5,0.6,0.8,SLxAL,S,L,A,L,POL.L,KS.L,SxA,LxL,TRUE,TRUE,TRUE
42956,Kate,3,117SL,SL,117SL,POL,SL,97AL,KS,AL,117xx97,KSxxPOL,ALxxSL,45.5,2,22.3,22.6,0.6,0.7,SLxAL,S,L,A,L,POL.L,KS.L,SxA,LxL,TRUE,TRUE,TRUE
42963,Kate,3,117SL,SL,117SL,POL,SL,110SL,CHAD,SL,110xx117,CHADxxPOL,SLxxSL,26.1,1,0.1,0.1,0,25.8,SLxSL,S,L,S,L,POL.L,CHAD.L,SxS,LxL,TRUE,TRUE,TRUE
42951,Kate,10,11AC,AC,11AC,AUS,AC,150AC,Ocean,AC,11xx150,AUSxxOcean,ACxxAC,0,0,NA,NA,NA,NA,ACxAC,A,C,A,C,AUS.C,Ocean.C,AxA,CxC,FALSE,FALSE,TRUE
42951,Kate,10,11AC,AC,11AC,AUS,AC,150AC,Ocean,AC,11xx150,AUSxxOcean,ACxxAC,0,0,NA,NA,NA,NA,ACxAC,A,C,A,C,AUS.C,Ocean.C,AxA,CxC,FALSE,FALSE,TRUE
42954,Kate,10,11AC,AC,11AC,AUS,AC,150AC,Ocean,AC,11xx150,AUSxxOcean,ACxxAC,0,0,NA,NA,NA,NA,ACxAC,A,C,A,C,AUS.C,Ocean.C,AxA,CxC,FALSE,FALSE,TRUE
42954,Kate,10,11AC,AC,11AC,AUS,AC,150AC,Ocean,AC,11xx150,AUSxxOcean,ACxxAC,0,0,NA,NA,NA,NA,ACxAC,A,C,A,C,AUS.C,Ocean.C,AxA,CxC,FALSE,FALSE,TRUE
42968,Kate,10,11AC,AC,11AC,AUS,AC,150AC,Ocean,AC,11xx150,AUSxxOcean,ACxxAC,0,0,NA,NA,NA,NA,ACxAC,A,C,A,C,AUS.C,Ocean.C,AxA,CxC,FALSE,FALSE,TRUE
42989,Kate,10,11AC,AC,11AC,AUS,AC,150AC,Ocean,AC,11xx150,AUSxxOcean,ACxxAC,0,0,NA,NA,NA,NA,ACxAC,A,C,A,C,AUS.C,Ocean.C,AxA,CxC,FALSE,FALSE,TRUE
42934,Kate,10,11AC,AC,11AC,AUS,AC,3SL,CHAD,SL,11xx3,AUSxxCHAD,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,CHAD.L,AxS,CxL,FALSE,FALSE,FALSE
42935,Kate,10,11AC,AC,11AC,AUS,AC,3SL,CHAD,SL,11xx3,AUSxxCHAD,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,CHAD.L,AxS,CxL,FALSE,FALSE,FALSE
42946,Kate,10,11AC,AC,11AC,AUS,AC,3SL,CHAD,SL,11xx3,AUSxxCHAD,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,CHAD.L,AxS,CxL,FALSE,FALSE,FALSE
42984,Kate,10,11AC,AC,11AC,AUS,AC,3SL,CHAD,SL,11xx3,AUSxxCHAD,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,CHAD.L,AxS,CxL,FALSE,FALSE,FALSE
42987,Kate,10,11AC,AC,11AC,AUS,AC,3SL,CHAD,SL,11xx3,AUSxxCHAD,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,CHAD.L,AxS,CxL,FALSE,FALSE,FALSE
42990,Kate,10,11AC,AC,11AC,AUS,AC,3SL,CHAD,SL,11xx3,AUSxxCHAD,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,CHAD.L,AxS,CxL,FALSE,FALSE,FALSE
42991,Kate,10,11AC,AC,11AC,AUS,AC,3SL,CHAD,SL,11xx3,AUSxxCHAD,ACxxSL,0,0,NA,NA,NA,NA,ACxSL,A,C,S,L,AUS.C,CHAD.L,AxS,CxL,FALSE,FALSE,FALSE
42939,Kate,10,11AC,AC,11AC,AUS,AC,83SC,CHAD,SC,11xx83,AUSxxCHAD,ACxxSC,0,0,NA,NA,NA,NA,ACxSC,A,C,S,C,AUS.C,CHAD.C,AxS,CxC,FALSE,FALSE,TRUE
42939,Kate,10,11AC,AC,11AC,AUS,AC,83SC,CHAD,SC,11xx83,AUSxxCHAD,ACxxSC,0,0,NA,NA,NA,NA,ACxSC,A,C,S,C,AUS.C,CHAD.C,AxS,CxC,FALSE,FALSE,TRUE
42935,Kate,10,11AC,AC,11AC,AUS,AC,9AL,PCB,AL,11xx9,AUSxxPCB,ACxxAL,0,0,NA,NA,NA,NA,ACxAL,A,C,A,L,AUS.C,PCB.L,AxA,CxL,FALSE,FALSE,FALSE
42941,Kate,10,11AC,AC,11AC,AUS,AC,9AL,PCB,AL,11xx9,AUSxxPCB,ACxxAL,0,0,NA,NA,NA,NA,ACxAL,A,C,A,L,AUS.C,PCB.L,AxA,CxL,FALSE,FALSE,FALSE
42941,Kate,10,11AC,AC,11AC,AUS,AC,9AL,PCB,AL,11xx9,AUSxxPCB,ACxxAL,0,0,NA,NA,NA,NA,ACxAL,A,C,A,L,AUS.C,PCB.L,AxA,CxL,FALSE,FALSE,FALSE
42947,Kate,10,11AC,AC,11AC,AUS,AC,9AL,PCB,AL,11xx9,AUSxxPCB,ACxxAL,0,0,NA,NA,NA,NA,ACxAL,A,C,A,L,AUS.C,PCB.L,AxA,CxL,FALSE,FALSE,FALSE
42950,Kate,10,11AC,AC,11AC,AUS,AC,9AL,PCB,AL,11xx9,AUSxxPCB,ACxxAL,0,0,NA,NA,NA,NA,ACxAL,A,C,A,L,AUS.C,PCB.L,AxA,CxL,FALSE,FALSE,FALSE
42933,Kate,10,11AC,AC,11AC,AUS,AC,83SC,CHAD,SC,11xx83,AUSxxCHAD,ACxxSC,121.5,4,26.9,27.5,27,25.7,ACxSC,A,C,S,C,AUS.C,CHAD.C,AxS,CxC,TRUE,TRUE,TRUE
42955,Kate,10,11AC,AC,11AC,AUS,AC,83SC,CHAD,SC,11xx83,AUSxxCHAD,ACxxSC,89.7,3,25.7,27.1,26.5,NA,ACxSC,A,C,S,C,AUS.C,CHAD.C,AxS,CxC,TRUE,TRUE,TRUE
42935,Kate,10,11AC,AC,11AC,AUS,AC,83SC,CHAD,SC,11xx83,AUSxxCHAD,ACxxSC,106.8,4,22.7,23.5,22.6,23.2,ACxSC,A,C,S,C,AUS.C,CHAD.C,AxS,CxC,TRUE,TRUE,TRUE
42949,Kate,10,11AC,AC,11AC,AUS,AC,83SC,CHAD,SC,11xx83,AUSxxCHAD,ACxxSC,94.1,4,21.8,23.1,11.9,23.6,ACxSC,A,C,S,C,AUS.C,CHAD.C,AxS,CxC,TRUE,TRUE,TRUE
